Subsets,Elements,Edge prob,Seconds used,Loss,Solution
130.0,108.0,0.61,0.0,15.62,7.0
199.0,303.0,0.01,35.0,20.93,135.0
382.0,241.0,0.43,2.0,24.48,10.0
119.0,268.0,0.69,0.0,30.5,6.0
344.0,228.0,0.81,0.0,6.59,3.0
271.0,271.0,0.35,2.0,26.64,11.0
449.0,418.0,0.13,22.0,17.87,35.0
307.0,311.0,0.44,6.0,15.69,11.0
289.0,166.0,0.64,2.0,13.37,6.0
359.0,137.0,0.84,1.0,24.03,3.0
303.0,339.0,0.15,12.0,17.58,25.0
380.0,349.0,0.99,0.0,7.34,2.0
359.0,259.0,0.1,19.0,23.52,33.0
328.0,485.0,0.39,5.0,17.07,12.0
439.0,224.0,0.63,1.0,18.99,6.0
395.0,124.0,0.58,1.0,18.05,6.0
125.0,405.0,0.32,3.0,20.35,12.0
233.0,457.0,0.42,3.0,21.31,10.0
341.0,422.0,0.17,13.0,21.09,28.0
495.0,254.0,0.43,5.0,22.68,10.0
172.0,330.0,0.85,0.0,18.15,3.0
458.0,498.0,0.38,8.0,20.51,14.0
200.0,468.0,0.12,15.0,18.81,31.0
464.0,500.0,0.19,12.0,19.15,22.0
393.0,412.0,0.07,33.0,18.6,49.0
466.0,240.0,0.01,109.0,18.99,166.0
134.0,180.0,0.51,0.0,14.93,6.0
348.0,498.0,0.04,54.0,19.6,91.0
104.0,405.0,0.73,1.0,23.45,7.0
275.0,146.0,0.39,3.0,26.21,8.0
358.0,491.0,0.17,12.0,15.44,28.0
183.0,157.0,0.23,8.0,14.25,18.0
259.0,163.0,0.98,0.0,4.41,2.0
319.0,378.0,0.45,4.0,12.23,10.0
331.0,449.0,0.77,2.0,14.7,6.0
300.0,275.0,0.77,1.0,16.06,6.0
319.0,171.0,0.49,2.0,8.96,7.0
254.0,363.0,0.32,5.0,13.89,13.0
188.0,436.0,0.95,0.0,0.04,2.0
386.0,309.0,0.56,2.0,22.79,7.0
146.0,394.0,0.38,5.0,36.11,13.0
357.0,267.0,0.27,10.0,28.99,18.0
145.0,295.0,0.55,2.0,13.38,8.0
420.0,127.0,0.24,6.0,21.05,14.0
471.0,250.0,0.99,0.0,26.22,1.0
401.0,126.0,0.91,1.0,27.28,2.0
409.0,210.0,0.82,1.0,2.88,4.0
107.0,386.0,0.13,11.0,19.99,33.0
494.0,130.0,0.53,2.0,16.23,7.0
142.0,375.0,0.06,18.0,21.14,67.0
166.0,320.0,0.69,0.0,22.75,6.0
482.0,131.0,0.58,1.0,13.18,6.0
325.0,105.0,0.8,0.0,0.06,4.0
344.0,234.0,0.87,0.0,9.26,3.0
291.0,474.0,0.5,2.0,19.29,9.0
232.0,494.0,0.87,0.0,2.75,4.0
310.0,466.0,0.47,3.0,18.09,11.0
471.0,145.0,1.0,0.0,6.56,1.0
170.0,119.0,0.09,9.0,15.04,31.0
337.0,253.0,0.65,1.0,10.4,5.0
495.0,145.0,0.5,2.0,32.69,6.0
135.0,360.0,0.26,4.0,19.32,16.0
105.0,470.0,0.93,0.0,21.64,4.0
408.0,253.0,0.75,1.0,24.76,6.0
418.0,195.0,0.66,1.0,22.77,6.0
398.0,263.0,0.66,1.0,12.13,6.0
314.0,498.0,0.54,2.0,18.73,9.0
301.0,365.0,0.83,0.0,29.12,4.0
228.0,336.0,0.05,30.0,19.44,69.0
250.0,157.0,0.87,0.0,10.8,4.0
277.0,378.0,0.06,29.0,16.0,59.0
357.0,239.0,1.0,0.0,24.44,1.0
401.0,129.0,0.25,8.0,25.33,15.0
131.0,221.0,0.27,5.0,20.6,14.0
274.0,463.0,0.72,1.0,17.39,6.0
461.0,460.0,0.18,14.0,19.06,24.0
305.0,119.0,0.55,4.0,22.5,9.0
114.0,369.0,0.89,1.0,3.63,3.0
103.0,222.0,0.87,0.0,30.3,4.0
275.0,329.0,0.92,0.0,27.14,4.0
212.0,420.0,0.56,3.0,18.15,9.0
145.0,273.0,0.84,0.0,25.52,3.0
449.0,102.0,0.2,11.0,15.92,18.0
216.0,185.0,0.56,1.0,25.14,6.0
314.0,118.0,0.48,2.0,16.71,8.0
291.0,463.0,0.44,4.0,19.46,10.0
384.0,400.0,0.18,15.0,18.87,26.0
202.0,396.0,0.33,5.0,17.62,14.0
406.0,397.0,0.58,4.0,20.35,9.0
130.0,448.0,0.68,0.0,9.89,5.0
165.0,254.0,0.17,7.0,19.72,23.0
338.0,360.0,0.46,3.0,19.69,9.0
342.0,139.0,0.17,11.0,24.98,22.0
497.0,297.0,0.12,21.0,22.94,29.0
484.0,301.0,0.05,57.0,18.09,64.0
441.0,458.0,0.16,15.0,15.8,25.0
144.0,143.0,0.77,0.0,23.94,4.0
213.0,205.0,0.03,33.0,18.35,78.0
402.0,489.0,0.54,2.0,26.94,8.0
355.0,103.0,0.71,1.0,21.23,5.0
368.0,278.0,0.17,10.0,20.63,22.0
313.0,223.0,0.22,10.0,20.49,19.0
107.0,390.0,0.5,3.0,6.87,10.0
168.0,277.0,0.72,0.0,20.41,5.0
223.0,170.0,0.32,6.0,21.38,13.0
141.0,253.0,0.45,3.0,14.2,9.0
415.0,339.0,0.98,1.0,28.54,2.0
299.0,336.0,0.98,0.0,21.65,2.0
374.0,112.0,0.81,1.0,27.35,3.0
177.0,342.0,0.53,1.0,14.34,9.0
252.0,262.0,0.62,1.0,19.2,5.0
124.0,310.0,0.49,2.0,21.41,11.0
403.0,156.0,0.33,4.0,17.58,11.0
210.0,395.0,0.7,2.0,21.76,7.0
287.0,299.0,0.94,0.0,9.0,2.0
478.0,400.0,0.53,4.0,13.9,9.0
351.0,189.0,0.69,1.0,0.0,5.0
460.0,492.0,0.03,101.0,16.43,124.0
370.0,190.0,0.98,0.0,27.85,2.0
161.0,494.0,0.95,0.0,3.78,3.0
162.0,391.0,0.69,0.0,17.98,5.0
354.0,104.0,0.2,7.0,14.75,17.0
243.0,110.0,0.64,1.0,15.72,6.0
500.0,132.0,0.06,28.0,20.22,40.0
496.0,329.0,0.4,9.0,19.64,13.0
374.0,123.0,0.68,0.0,5.95,4.0
126.0,300.0,0.87,0.0,23.22,5.0
214.0,201.0,0.32,7.0,19.87,15.0
132.0,182.0,0.69,0.0,22.31,5.0
312.0,446.0,0.63,3.0,26.66,8.0
173.0,108.0,0.56,0.0,4.99,6.0
416.0,251.0,0.31,7.0,10.72,13.0
208.0,326.0,0.4,5.0,22.37,12.0
181.0,194.0,0.96,0.0,5.45,2.0
487.0,312.0,0.4,6.0,16.18,12.0
276.0,413.0,0.3,9.0,13.88,16.0
197.0,125.0,0.27,5.0,18.05,13.0
300.0,482.0,0.29,9.0,15.52,16.0
108.0,121.0,0.7,1.0,17.29,5.0
232.0,233.0,0.03,37.0,20.01,78.0
103.0,449.0,0.14,5.0,19.27,29.0
324.0,121.0,0.28,3.0,13.48,11.0
466.0,402.0,0.42,4.0,25.08,11.0
457.0,441.0,0.16,19.0,19.22,28.0
342.0,157.0,0.04,37.0,18.54,55.0
495.0,360.0,0.46,4.0,20.9,9.0
483.0,128.0,0.68,1.0,18.82,5.0
197.0,410.0,0.12,14.0,21.03,33.0
316.0,349.0,0.1,23.0,20.15,42.0
223.0,482.0,0.54,2.0,12.2,8.0
412.0,133.0,0.5,3.0,15.36,8.0
355.0,207.0,0.34,5.0,22.09,12.0
185.0,401.0,0.41,3.0,19.73,10.0
120.0,341.0,0.31,7.0,19.56,16.0
345.0,237.0,0.92,1.0,29.87,3.0
134.0,277.0,0.84,0.0,17.68,3.0
351.0,176.0,0.72,1.0,18.99,6.0
108.0,173.0,0.17,5.0,17.93,24.0
178.0,204.0,0.61,0.0,12.67,5.0
429.0,465.0,0.46,2.0,18.78,8.0
281.0,214.0,0.78,0.0,22.31,4.0
272.0,366.0,0.26,7.0,17.3,17.0
254.0,229.0,0.66,1.0,17.48,6.0
189.0,265.0,0.5,2.0,19.83,9.0
491.0,377.0,0.36,5.0,16.12,13.0
283.0,131.0,0.1,15.0,21.51,30.0
233.0,439.0,0.06,28.0,22.81,57.0
181.0,167.0,0.27,4.0,20.96,14.0
458.0,194.0,0.4,3.0,17.2,10.0
244.0,448.0,0.7,1.0,12.72,6.0
309.0,444.0,0.2,10.0,15.14,23.0
408.0,486.0,0.96,1.0,31.1,2.0
332.0,303.0,0.73,1.0,21.63,5.0
381.0,227.0,0.4,5.0,19.76,11.0
189.0,175.0,0.86,0.0,24.39,3.0
454.0,449.0,0.73,1.0,11.15,5.0
